Log, Logger Test,  2023-07-29 20:48:23.494955
Warning, Test Warning, 2023-07-29 20:48:23.495454
Error, Test Error, 2023-07-29 20:48:23.495454
Exception, Test Exception, 2023-07-29 20:48:23.495953
Log, Logger Test,  2023-07-29 20:48:40.466531
Warning, Test Warning, 2023-07-29 20:48:40.467545
Error, Test Error, 2023-07-29 20:48:40.467545
Exception, Test Exception, 2023-07-29 20:48:40.468051
Log, Logger Test,  2023-07-29 20:49:40.430032
Warning, Test Warning, 2023-07-29 20:49:40.430538
Error, Test Error, 2023-07-29 20:49:40.431038
Exception, Test Exception, 2023-07-29 20:49:40.431038
Log, Logger Test,  2023-07-29 20:50:38.249543
Warning, Test Warning, 2023-07-29 20:50:38.249543
Error, Test Error, 2023-07-29 20:50:38.250047
Exception, Test Exception, 2023-07-29 20:50:38.250544
Log, Logger Test,  2023-07-29 20:54:01.285931
Warning, Test Warning, 2023-07-29 20:54:01.285931
Error, Test Error, 2023-07-29 20:54:01.286937
Exception, Test Exception, 2023-07-29 20:54:01.286937
Log, Logger Test,  2023-07-29 20:55:50.822439
Warning, Test Warning, 2023-07-29 20:55:50.823447
Error, Test Error, 2023-07-29 20:55:50.823447
Exception, Test Exception, 2023-07-29 20:55:50.823954
Log, Logger Test,  2023-07-29 20:56:05.045122
Warning, Test Warning, 2023-07-29 20:56:05.045622
Error, Test Error, 2023-07-29 20:56:05.045622
Exception, Test Exception, 2023-07-29 20:56:05.045622
Log, Logger Test,  2023-07-29 21:01:38.735174
Warning, Test Warning, 2023-07-29 21:01:38.735675
Error, Test Error, 2023-07-29 21:01:38.735675
Exception, Test Exception, 2023-07-29 21:01:38.736174
Log, Logger Test,  2023-07-29 21:07:05.796686
Log, Logger Test,  2023-07-29 21:08:17.756618
Log, Logger Test,  2023-07-29 21:08:35.862470
Log, Logger Test,  2023-07-29 21:14:21.213561
Warning, Test Warning, 2023-07-29 21:14:21.352516
Error, Test Error, 2023-07-29 21:14:21.352516
Exception, Test Exception, 2023-07-29 21:14:21.352516
Log, Logger Test,  2023-07-29 21:14:21.782232
Warning, Test Warning, 2023-07-29 21:14:21.924860
Error, Test Error, 2023-07-29 21:14:21.924860
Exception, Test Exception, 2023-07-29 21:14:21.925360
Log, Logger Test,  2023-07-29 21:15:57.431311
Warning, Test Warning, 2023-07-29 21:15:57.572596
Error, Test Error, 2023-07-29 21:15:57.573101
Exception, Test Exception, 2023-07-29 21:15:57.573101
Log, Logger Test,  2023-07-29 21:16:45.209874
Warning, Test Warning, 2023-07-29 21:16:47.170606
Error, Test Error, 2023-07-29 21:16:47.171115
Exception, Test Exception, 2023-07-29 21:16:47.171115
Log, Logger Test,  2023-07-29 21:18:11.747947
Warning, Test Warning, 2023-07-29 21:18:11.894029
Error, Test Error, 2023-07-29 21:18:11.894528
Exception, Test Exception, 2023-07-29 21:18:11.894528
Log, Logger Test,  2023-07-29 21:18:25.731740
Warning, Test Warning, 2023-07-29 21:18:25.947323
Error, Test Error, 2023-07-29 21:18:25.947829
Exception, Test Exception, 2023-07-29 21:18:25.947829
Log, Logger Test,  2023-07-29 21:22:20.908083
Warning, Test Warning, 2023-07-29 21:22:21.166644
Error, Test Error, 2023-07-29 21:22:21.167152
Exception, Test Exception, 2023-07-29 21:22:21.167650
Log, Logger Test,  2023-07-29 21:22:42.432589
Warning, Test Warning, 2023-07-29 21:22:42.643038
Error, Test Error, 2023-07-29 21:22:42.643038
Exception, Test Exception, 2023-07-29 21:22:42.643545
Log, Logger Test,  2023-07-29 21:23:47.321782
Warning, Test Warning, 2023-07-29 21:23:47.574823
Error, Test Error, 2023-07-29 21:23:47.575319
Exception, Test Exception, 2023-07-29 21:23:47.575319
Log, You smell nerd,  2023-07-29 21:24:23.063353
Warning, Test Warning, 2023-07-29 21:24:23.295320
Error, Test Error, 2023-07-29 21:24:23.295827
Exception, Test Exception, 2023-07-29 21:24:23.296325
Log, Logger Test,  2023-07-29 21:25:05.510958
Warning, Test Warning, 2023-07-29 21:25:05.756782
Error, Test Error, 2023-07-29 21:25:05.756782
Exception, Test Exception, 2023-07-29 21:25:05.757789
Log, Logger Test,  2023-07-29 21:39:46.140148
Log, Logger Test,  2023-07-29 21:40:32.044130
Log, Logger Test,  2023-07-29 21:41:12.653703
Warning, Test Warning, 2023-07-29 21:41:12.838775
Error, Test Error, 2023-07-29 21:41:13.012133
Exception, Test Exception, 2023-07-29 21:41:13.012634
Log, Logger Test,  2023-07-29 21:42:48.706785
Warning, Test Warning, 2023-07-29 21:42:49.063022
Error, Test Error, 2023-07-29 21:42:49.276573
Exception, Test Exception, 2023-07-29 21:42:49.276573
Log, Logger Test,  2023-07-29 21:44:02.842257
Warning, Test Warning, 2023-07-29 21:44:03.076343
Error, Test Error, 2023-07-29 21:44:03.262868
Exception, Test Exception, 2023-07-29 21:44:03.262868
Log, Logger Test,  2023-07-29 21:47:11.400392
Warning, Test Warning, 2023-07-29 21:47:11.594834
Error, Test Error, 2023-07-29 21:47:11.786591
Exception, Test Exception, 2023-07-29 21:47:11.787596
Log, Logger Test,  2023-07-29 21:47:34.945174
Warning, Test Warning, 2023-07-29 21:47:35.122274
Error, Test Error, 2023-07-29 21:47:35.341251
Exception, Test Exception, 2023-07-29 21:47:35.568060
Log, Logger Test,  2023-07-29 21:48:22.166838
Warning, Test Warning, 2023-07-29 21:48:22.439629
Error, Test Error, 2023-07-29 21:48:22.639505
Exception, Test Exception, 2023-07-29 21:48:22.891564
Log, Logger Test,  2023-07-29 21:51:25.067835
Warning, Test Warning, 2023-07-29 21:51:25.068336
Error, Test Error, 2023-07-29 21:51:25.428856
Exception, Test Exception, 2023-07-29 21:51:25.661278
Log, Logger Test,  2023-07-29 21:52:23.151100
Warning, Test Warning, 2023-07-29 21:52:23.389336
Error, Test Error, 2023-07-29 21:52:23.580696
Exception, Test Exception, 2023-07-29 21:52:23.785689
Log, Logger Test,  2023-07-29 21:52:38.526961
Warning, Test Warning, 2023-07-29 21:52:38.709815
Error, Test Error, 2023-07-29 21:52:38.975382
Exception, Test Exception, 2023-07-29 21:52:39.143603
Log, Logger Test,  2023-07-29 21:53:36.301185
Warning, Test Warning, 2023-07-29 21:53:36.302189
Error, Test Error, 2023-07-29 21:53:36.528908
Exception, Test Exception, 2023-07-29 21:53:36.772055
Log, Logger Test,  2023-07-29 21:54:29.113544
Warning, Test Warning, 2023-07-29 21:54:29.114044
Error, Test Error, 2023-07-29 21:54:29.337286
